Brand,Model,128GB 12GB RAM_128GB 12GB RAM,128GB 12GB RAM_256GB 12GB RAM,128GB 12GB RAM_256GB 8GB RAM,128GB 12GB RAM_512GB 12GB RAM,128GB 12GB RAM_512GB 16GB RAM,128GB 16GB RAM_128GB 16GB RAM,128GB 16GB RAM_256GB 16GB RAM,128GB 16GB RAM_512GB 16GB RAM,128GB 4GB RAM_128GB 4GB RAM,128GB 4GB RAM_128GB 6GB RAM,128GB 4GB RAM_128GB 8GB RAM,128GB 4GB RAM_256GB 4GB RAM,128GB 4GB RAM_256GB 6GB RAM,128GB 4GB RAM_256GB 8GB RAM,128GB 4GB RAM_512GB 4GB RAM,128GB 4GB RAM_512GB 8GB RAM,128GB 4GB RAM_64GB 3GB RAM,128GB 4GB RAM_64GB 4GB RAM,128GB 4GB RAM_64GB 6GB RAM,128GB 6GB RAM_128GB 4GB RAM,128GB 6GB RAM_128GB 6GB RAM,128GB 6GB RAM_128GB 8GB RAM,128GB 6GB RAM_256GB 12GB RAM,128GB 6GB RAM_256GB 6GB RAM,128GB 6GB RAM_256GB 8GB RAM,128GB 6GB RAM_512GB 6GB RAM,128GB 6GB RAM_64GB 4GB RAM,128GB 6GB RAM_64GB 6GB RAM,128GB 8GB RAM_128GB 12GB RAM,128GB 8GB RAM_128GB 4GB RAM,128GB 8GB RAM_128GB 6GB RAM,128GB 8GB RAM_128GB 8GB RAM,128GB 8GB RAM_256GB 12GB RAM,128GB 8GB RAM_256GB 16GB RAM,128GB 8GB RAM_256GB 8GB RAM,128GB 8GB RAM_512GB 12GB RAM,128GB 8GB RAM_512GB 8GB RAM,128GB 8GB RAM_64GB 4GB RAM,128MB 48MB RAM_128MB 48MB RAM,128MB 64MB RAM_128MB 64MB RAM,164MB_164MB,16GB 1.5GB RAM_16GB 1.5GB RAM,16GB 2GB RAM_16GB 2GB RAM,1TB 16GB RAM_1TB 16GB RAM,1TB 16GB RAM_512GB 12GB RAM,1TB 24GB RAM_1TB 24GB RAM,256GB 12GB RAM_128GB 12GB RAM,256GB 12GB RAM_128GB 8GB RAM,256GB 12GB RAM_1TB 12GB RAM,256GB 12GB RAM_1TB 16GB RAM,256GB 12GB RAM_1TB 24GB RAM,256GB 12GB RAM_256GB 12GB RAM,256GB 12GB RAM_256GB 16GB RAM,256GB 12GB RAM_256GB 8GB RAM,256GB 12GB RAM_512GB 12GB RAM,256GB 12GB RAM_512GB 16GB RAM,256GB 16GB RAM_1TB 16GB RAM,256GB 16GB RAM_256GB 16GB RAM,256GB 16GB RAM_512GB 16GB RAM,256GB 4GB RAM_128GB 4GB RAM,256GB 4GB RAM_256GB 4GB RAM,256GB 4GB RAM_64GB 4GB RAM,256GB 6GB RAM_256GB 6GB RAM,256GB 8GB RAM_128GB 4GB RAM,256GB 8GB RAM_128GB 6GB RAM,256GB 8GB RAM_128GB 8GB RAM,256GB 8GB RAM_1TB 8GB RAM,256GB 8GB RAM_256GB 12GB RAM,256GB 8GB RAM_256GB 8GB RAM,256GB 8GB RAM_512GB 12GB RAM,256GB 8GB RAM_512GB 8GB RAM,256GB 8GB RAM_64GB 4GB RAM,32GB 1GB RAM_32GB 1GB RAM,32GB 2GB RAM_128GB 4GB RAM,32GB 2GB RAM_32GB 2GB RAM,32GB 2GB RAM_32GB 3GB RAM,32GB 2GB RAM_64GB 3GB RAM,32GB 2GB RAM_64GB 4GB RAM,32GB 3GB RAM_128GB 4GB RAM,32GB 3GB RAM_32GB 3GB RAM,32GB 3GB RAM_64GB 3GB RAM,32GB 3GB RAM_64GB 4GB RAM,32GB/64GB 2GB RAM_32GB/64GB 2GB RAM,32GB_32GB,4GB 512MB RAM_4GB 512MB RAM,512GB 12GB RAM_1TB 12GB RAM,512GB 12GB RAM_1TB 16GB RAM,512GB 12GB RAM_256GB 12GB RAM,512GB 12GB RAM_256GB 8GB RAM,512GB 12GB RAM_512GB 12GB RAM,512GB 12GB RAM_512GB 16GB RAM,512GB 16GB RAM_512GB 16GB RAM,512GB 8GB RAM_128GB 8GB RAM,512GB 8GB RAM_256GB 8GB RAM,512GB 8GB RAM_512GB 8GB RAM,512GB_512GB,64GB 2GB RAM_64GB 2GB RAM,64GB 3GB RAM_128GB 3GB RAM,64GB 3GB RAM_128GB 4GB RAM,64GB 3GB RAM_128GB 6GB RAM,64GB 3GB RAM_256GB 3GB RAM,64GB 3GB RAM_32GB 2GB RAM,64GB 3GB RAM_64GB 3GB RAM,64GB 3GB RAM_64GB 4GB RAM,64GB 4GB RAM_128GB 4GB RAM,64GB 4GB RAM_128GB 6GB RAM,64GB 4GB RAM_128GB 8GB RAM,64GB 4GB RAM_256GB 4GB RAM,64GB 4GB RAM_256GB 6GB RAM,64GB 4GB RAM_32GB 3GB RAM,64GB 4GB RAM_512GB 4GB RAM,64GB 4GB RAM_64GB 3GB RAM,64GB 4GB RAM_64GB 4GB RAM,64GB 4GB RAM_64GB 6GB RAM,64GB 6GB RAM_128GB 6GB RAM,64GB 6GB RAM_128GB 8GB RAM,64GB 6GB RAM_64GB 6GB RAM,64GB_64GB,8GB_8GB,Battery_Charging,Battery_Music play,Battery_Stand-by,Battery_Talk time,Battery_Type,Body_Build,Body_Dimensions,Body_Keyboard,Body_SIM,Body_Weight,Comms_Bluetooth,Comms_Infrared port,Comms_NFC,Comms_Positioning,Comms_Radio,Comms_USB,Comms_WLAN,Display_Protection,Display_Resolution,Display_Size,Display_Type,EU LABEL_Battery,EU LABEL_Energy,EU LABEL_Free fall,EU LABEL_Repairability,Features_Alarm,Features_Browser,Features_Clock,Features_Games,Features_Java,Features_Languages,Features_Messaging,Features_Sensors,Launch_Announced,Launch_Status,Main Camera_Dual,Main Camera_Dual or Triple,Main Camera_Features,Main Camera_Five,Main Camera_Penta,Main Camera_Quad,Main Camera_Single,Main Camera_Triple,Main Camera_Video,Memory_Call records,Memory_Card slot,Memory_Internal,Memory_Phonebook,Misc_Colors,Misc_Models,Misc_Price,Misc_SAR,Misc_SAR EU,Network_2G bands,Network_3G bands,Network_4G bands,Network_5G bands,Network_EDGE,Network_GPRS,Network_Speed,Network_Technology,Our Tests_Audio quality,Our Tests_Battery,Our Tests_Battery (old),Our Tests_Camera,Our Tests_Display,Our Tests_Loudspeaker,Our Tests_Performance,Platform_CPU,Platform_Chipset,Platform_GPU,Platform_OS,Selfie camera_Dual,Selfie camera_Features,Selfie camera_Single,Selfie camera_Triple,Selfie camera_Video,Sound_3.5mm jack,Sound_Alert types,Sound_Loudspeaker,Unspecified_Unspecified
Samsung,Samsung T939 Behold 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 360 h,Up to 6 h,Removable Li-Ion 1500 mAh battery,,116.8 x 55.9 x 12.2 mm (4.60 x 2.20 x 0.48 in),,Mini-SIM,119.7 (4.20 oz),"2.1, A2DP",,,A-GPS only; AT&T Navigator,No,2.0,Wi-Fi 802.11 b/g,Corning Gorilla Glass,"320 x 480 pixels, 3:2 ratio (~180 ppi density)","3.2 inches, 30.5 cm2 (~46.7% screen-to-body ratio)",AMOLED  (65K effective),,,,,,HTML,,,,,,"Accelerometer, proximity","2009, October. Released 2009, November",Discontinued,,,LED flash,,,,"5 MP, AF",,Yes,,"microSDHC (dedicated slot), 2 GB included",200MB,,Black,,About 90 EUR,0.67 W/kg (head)     0.66 W/kg (body),0.59 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 1700 / 2100,,,,,HSPA,GSM / HSPA,,,,,,,,,,,Android 1.5 (Cupcake),,,,,,Yes,,Yes,
Samsung,Samsung W880 Amoled 12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 410 h (2G) / Up to 310 h (3G),Up to 6 h (2G) / Up to 4 h (3G),Removable Li-Ion 1080 mAh battery,,115.8 x 56.9 x 16.3 mm (4.56 x 2.24 x 0.64 in),,Mini-SIM,145 g (5.11 oz),"2.0, A2DP",,,No,No,2.0,No,,"480 x 800 pixels, 5:3 ratio (~283 ppi density)","3.3 inches, 31.0 cm2 (~47.0% screen-to-body ratio)",AMOLED,,,,,,"WAP 2.0/xHTML, HTML",,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email, IM, Push Email","Accelerometer, proximity","2009, September. Released 2009, October",Discontinued,,,"Xenon flash, LED flash",,,,"12 MP, AF, 3x optical zoom",,720p@30fps,Yes,microSDHC (dedicated slot),4GB,"Yes, Photo call",Black,,About 200 EUR,,0.58 W/kg (head),GSM 900 / 1800 / 1900,HSDPA 2100,,,,,"HSPA, CDMA2000 1xEV-DO",GSM / HSPA,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung Vodafone 360 H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 460 h,Up to 10 h (2G) / Up to 6 h 40 min (3G),Removable Li-Ion 1500 mAh battery,,"115.9 x 58 x 12.9 mm, 60 cc (4.56 x 2.28 x 0.51 in)",,Mini-SIM,134 g (4.73 oz),"2.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",2.0,Wi-Fi 802.11 b/g,,"480 x 800 pixels, 5:3 ratio (~267 ppi density)","3.5 inches, 34.9 cm2 (~51.9% screen-to-body ratio)",AMOLED,,,,,,HTML,,,,,,,"2009, September. Released 2009, November",Discontinued,,,LED flash,,,,"5 MP, AF",,720p@30fps,,microSDHC (dedicated slot),16GB,,"Black, Silver",,About 130 EUR,,0.41 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA,GSM / HSPA,,,,,,,,600 MHz Cortex-A8,,PowerVR SGX,LiMo OS,,,Yes,,,Yes,,Yes,
Samsung,Samsung Vodafone 360 M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 490 h,Up to 10 h (2G) / Up to 6 h 40 min (3G),Removable Li-Ion 1500 mAh battery,,112 x 55.4 x 13.4 mm (4.41 x 2.18 x 0.53 in),,Mini-SIM,111 g (3.92 oz),"2.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",2.0,No,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)","3.2 inches, 29.1 cm2 (~47.0% screen-to-body ratio)","TFT , 16M colors",,,,,,HTML,,,,,,,"2009, September. Released 2009, November",Discontinued,,,,,,,3.15 MP,,480p@15fps,,microSDHC (dedicated slot),1GB,,"Black, White, Red",,About 130 EUR,,0.65 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,,,,,,,,600 MHz Cortex-A8,,PowerVR SGX,Linux-based LiMo R2.0.1,,,Yes,,,Yes,,Yes,
Samsung,Samsung B5310 Corbypro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 560 h,Up to 8 h,Removable Li-Ion 960 mAh battery,,105 x 56.8 x 15.7 mm (4.13 x 2.24 x 0.62 in),QWERTY,Mini-SIM,135 g (4.76 oz),"2.1, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,Wi-Fi 802.11 b/g,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~40.7% screen-to-body ratio)","TFT resistive touchscreen, 256K colors",,,,,,"WAP 2.0 / xHTML, HTML",,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email, IM",Accelerometer,"2009, September. Released 2009, November",Discontinued,,,video,,,,3.15 MP,,320p@15fps,Yes,microSDHC (dedicated slot),150MB,"1000 contacts, Photo call",Black,,About 100 EUR,0.42 W/kg (head)     0.60 W/kg (body),0.63 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,,,,HSPA 7.2/0.384 Mbps,GSM / HSPA,,,,,,,,,,,,,,Yes,,,Yes,,Yes,
Samsung,Samsung B3210 Corbytxt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 390 h,Up to 7 h 30 min,Removable Li-Ion 800 mAh battery,,112 x 59.6 x 12.9 mm (4.41 x 2.35 x 0.51 in),QWERTY,Mini-SIM,94 g (3.32 oz),"2.1, A2DP",,,No,"Stereo FM radio, RDS, recording",2.0,No,,220 x 176 pixels (~128 ppi density),"2.2 inches, 15.2 cm2 (~22.8% screen-to-body ratio)","TFT, 256K colors",,,,,,"WAP 2.0 / xHTML, HTML",,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email, IM",,"2009, September. Released 2009, September",Discontinued,,,,,,,2 MP,,Yes,Yes,microSDHC (dedicated slot),40MB,"1000 entries, Photocall",Black,,About 80 EUR,0.41 W/kg (head)     0.48 W/kg (body),0.63 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,Yes,,Yes,
Samsung,Samsung F480I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 250 h,Up to 3 h,Removable Li-Ion 1000 mAh battery,,98.4 x 55 x 11.6 mm (3.87 x 2.17 x 0.46 in),,Mini-SIM,106 g (3.74 oz),"2.0, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~44.9% screen-to-body ratio)","TFT, 256K colors",,,,,,"WAP 2.0/xHTML, HTML",,Yes,"Yes, MIDP 2.0",,"SMS, EMS, MMS, Email, IM, RSS",,"2009, February. Released 2009, August",Discontinued,,,LED flash,,,,"5 MP, AF",,320p,"30 dialed, 30 received, 30 missed calls",microSDHC (dedicated slot),160MB,"2000 entries, Photocall","Black, Pink, La Fleur, Pearl White",,About 100 EUR,,0.94 W/kg (head),GSM 900 / 1800 / 1900,HSDPA 2100,,,,,HSPA 7.2/0.384 Mbps,GSM / HSPA,,,,,,,,,,,,,,VGA videocall camera,,,No,,Yes,
Samsung,Samsung B7330 Omniapro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 600 h,Up to 10 h,Removable Li-Ion 1500 mAh battery,,114.9 x 59 x 10.8 mm (4.52 x 2.32 x 0.43 in),QWERTY,Mini-SIM,111 g (3.92 oz),"2.0, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",2.0,Wi-Fi 802.11 b/g,,"320 x 320 pixels, 1:1 ratio (~173 ppi density)","2.62 inches, 22.1 cm2 (~32.7% screen-to-body ratio)","TFT, 65K colors",,,,,,"WAP 2.0 / xHTML, HTML, Adobe Flash Lite",,,,,,,"2009, September. Released 2009, November",Discontinued,,,,,,,"3.15 MP, AF",,320p@30fps,,microSDHC (dedicated slot),270MB 256MB RAM 512MB ROM,,Black,,About 120 EUR,0.64 W/kg (head)     0.69 W/kg (body),0.81 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,,,,HSPA 7.2/2 Mbps,GSM / HSPA,,,,,,,,528 MHz,,,Microsoft Windows Mobile 6.5 Standard,,,Yes,,,No,,Yes,
Samsung,Samsung E1085T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 560 h,Up to 9 h,Removable Li-Ion 800 mAh battery,,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),,Mini-SIM,64.5 g (2.26 oz),No,,,No,"Stereo FM radio, RDS",Proprietary,No,,"128 x 128 pixels, 1:1 ratio (~127 ppi density)","1.43 inches, 6.6 cm2 (~13.5% screen-to-body ratio)","CSTN, 65K colors",,,,,,No,,Yes,"Yes, MIDP 2.0",,SMS,,"2009, September. Released 2009, September",Discontinued,,,,,,,,,,Yes,No,1MB,500 entries,Black,,About 30 EUR,,0.74 W/kg (head),GSM 900 / 1800,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung E1080T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 420 h,Up to 12 h,Removable Li-Ion 800 mAh battery,,107.4 x 45.5 x 13.6 mm (4.23 x 1.79 x 0.54 in),,Mini-SIM,64.5 g (2.26 oz),No,,,No,No,No,No,,"128 x 128 pixels, 1:1 ratio (~127 ppi density)","1.43 inches, 6.6 cm2 (~13.5% screen-to-body ratio)","CSTN, 65K colors",,,,,,No,,Yes,"Yes, MIDP 2.0",,SMS,,"2009, September. Released 2009, September",Discontinued,,,,,,,,,,Yes,No,1MB,Yes,Black,,About 30 EUR,,0.74 W/kg (head),GSM 900 / 1800,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung S5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 422 h (2G) / Up to 362 h (3G),Up to 8 h 40 min (2G) / Up to 5 h 20 min (3G),Removable Li-Ion 800 mAh battery,,93.8 x 46.6 x 16.7 mm (3.69 x 1.83 x 0.66 in),,Mini-SIM,88 g (3.10 oz),"2.1, A2DP",,,No,"Stereo FM radio, RDS",microUSB 2.0,No,,"240 x 320 pixels, 4:3 ratio (~190 ppi density)","2.1 inches, 13.7 cm2 (~31.2% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2009, October. Released 2009, October",Discontinued,,,,,,,3.15 MP,,320p@30fps,"30 received, dialed and missed calls",microSDHC (dedicated slot),,"1000 contacts, Photo call","Noir Black, Ruby Red",,About 110 EUR,0.82 W/kg (head)     0.72 W/kg (body),0.83 W/kg (head),GSM 850 / 900 / 1800 / 1900,UMTS 2100,,,,,"Yes, 384 kbps",GSM / UMTS,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung S5230W Star Wifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 700 h,Up to 10 h,Removable Li-Ion 1000 mAh battery,,104 x 53 x 11.9 mm (4.09 x 2.09 x 0.47 in),,Mini-SIM,92 g (3.25 oz),"2.1, A2DP",,,No,"Stereo FM radio, RDS",2.0,Wi-Fi 802.11 b/g,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~46.5% screen-to-body ratio)","TFT resistive touchscreen, 256K colors",,,,,,"WAP 2.0/xHTML, HTML",,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email",Accelerometer,"2009, September. Released 2009, September",Discontinued,,,,,,,3.15 MP,,320p@15fps,Yes,microSDHC (dedicated slot),50MB,"Yes, Photo Contact","Black, Silver, White, Pink",,About 90 EUR,0.75 W/kg (head)     0.65 W/kg (body),0.59 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 12,Class 12,,GSM,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung S7550 Blue Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 20 min,Up to 2 min 30 sec,Solar Panel (10 min charging),,108 x 53.6 x 14.2 mm (4.25 x 2.11 x 0.56 in),,Mini-SIM,119 g (4.20 oz),"2.1, A2DP",,,"GPS, A-GPS","Stereo FM radio, RDS",microUSB 2.0,Wi-Fi 802.11 b/g,,"240 x 400 pixels, 5:3 ratio (~155 ppi density)","3.0 inches, 25.6 cm2 (~44.3% screen-to-body ratio)",TFT,,,,,,"WAP 2.0/xHTML, HTML",,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email, RSS reader",Accelerometer,"2009, September. Released 2009, November",Discontinued,,,,,,,3.15 MP,,320p@15fps,"40 received, dialed and missed calls",microSDHC (dedicated slot),130MB,"2000 contacts, Photocall",Blue,,About 110 EUR,0.27 W/kg (head)     0.37 W/kg (body),0.68 W/kg (head),GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,,,,HSPA 3.6/0.384 Mbps,GSM / HSPA,,,,,,,,,,,,,,Yes,,,No,,Yes,
Samsung,Samsung S3650 Corby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 730 h,Up to 9 h,Removable Li-Ion 960 mAh battery,,103 x 56.5 x 12 mm (4.06 x 2.22 x 0.47 in),,Mini-SIM,90 g (3.17 oz),"2.1, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,Corning Gorilla Glass,"240 x 320 pixels, 4:3 ratio (~143 ppi density)","2.8 inches, 24.3 cm2 (~41.7% screen-to-body ratio)","TFT, 256K colors",,,,,,"WAP 2.0/xHTML, HTML",,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2009, August. Released 2009, September",Discontinued,,,,,,,2 MP,,320p@15fps,Yes,microSDHC (dedicated slot),50MB,"1000 contacts, Photocall","Jamaican Yellow, Cupid Pink, Minimal White, and Festival Orange; 2 Fashion Jackets",,About 80 EUR,0.72 W/kg (head)     0.37 W/kg (body),0.75 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung T659 Scarlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 300 h,Up to 5 h,Removable Li-Ion 800 mAh battery,,104.1 x 48.3 x 15.2 mm (4.10 x 1.90 x 0.60 in),,Mini-SIM,93.6 g (3.28 oz),"2.0, A2DP",,,No,No,2.0,No,,"240 x 320 pixels, 4:3 ratio",,"TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes + downloadable,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2009, September. Released 2009, October",Discontinued,,,,,,,2 MP,,Yes,"30 received, dialed and missed calls",microSD (dedicated slot),,"1000 contacts, Photo call",Gray,,About 50 EUR,0.73 W/kg (head)     0.79 W/kg (body),0.46 W/kg (head),GSM 850 / 900 / 1800 / 1900,UMTS 1700 / 2100,,,,,"Yes, 384 kbps",GSM / UMTS,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung B3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 380 h,Up to 5 h,Removable Li-Ion 800 mAh battery,,91 x 54 x 17 mm (3.58 x 2.13 x 0.67 in),QWERTY,Mini-SIM,101 g (3.56 oz),"2.1, A2DP",,,No,"Stereo FM radio, RDS",2.0,No,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)","2.0 inches, 12.4 cm2 (~25.2% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2009, August. Released 2009, September",Discontinued,,,,,,,2 MP,,320p,"30 dialed, 30 received, 30 missed calls",microSD (dedicated slot),40MB,"1000 entries, Photocall","Black, Pink, Blue, Green",,About 70 EUR,0.23 W/kg (head)     0.13 W/kg (body),0.66 W/kg (head),GSM 850 / 900 / 1800 / 1900,,,,Class 10,Class 10,,GSM,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung C3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 322 h,Up to 10 h,Removable Li-Ion 1000 mAh battery,,111.6 x 47 x 14.2 mm (4.39 x 1.85 x 0.56 in),,Dual SIM (Mini-SIM),92 g (3.25 oz),"2.1, A2DP",,,No,"Stereo FM radio, RDS, recording",2.0,No,,"120 x 160 pixels, 4:3 ratio (~100 ppi density)","2.0 inches, 12.4 cm2 (~23.6% screen-to-body ratio)","TFT, 65K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email",,"2009, August. Released 2009, September",Discontinued,,,,,,,VGA,,Yes,"30 received, dialed and missed calls",microSDHC (dedicated slot),15MB,"1000 entries, Photocall",Black,,About 100 EUR,,1.19 W/kg (head),GSM 900 / 1800 - SIM 1,,,,"Class 10 (SIM 1, download only)",Class 10,,GSM,,,,,,,,,,,,,,,,,No,,Yes,
Samsung,Samsung U450 Doubletake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 300 h,Up to 5 h,Removable Li-Ion 960 mAh battery,,108 x 53 x 17 mm (4.25 x 2.09 x 0.67 in),QWERTY,Mini-SIM,100 g (3.53 oz),"2.1, A2DP",,,No,No,microUSB 2.0,No,,176 x 220 pixels (~134 ppi density),"2.1 inches, 13.9 cm2 (~24.2% screen-to-body ratio)","TFT, 256K colors",,,,,,WAP 2.0/xHTML,,Yes,"Yes, MIDP 2.0",,"SMS, MMS, Email, IM",,"2009, July. Released 2009, July",Discontinued,,,,,,,1.3 MP,,No,Yes,microSD (dedicated slot),,"1000 entries, Photocall","Black, Red",,About 50 EUR,0.72 W/kg (head)     0.57 W/kg (body),,CDMA 800 / 1900,CDMA2000 1x,,,,,"Yes, 384 kbps",CDMA / CDMA2000,,,,,,,,,,,,,,,,,No,,Yes,
